aircraft_id,home_airport,capacity,age_years
AC001,DEL,201,17
AC002,FRA,285,4
AC003,DXB,273,20
AC004,FRA,227,19
AC005,FRA,307,25
AC006,LHR,312,25
AC007,FRA,232,8
AC008,DEL,277,3
AC009,DEL,193,4
AC010,LHR,122,22
AC011,LHR,293,11
AC012,DXB,221,9
AC013,SIN,211,13
AC014,NRT,251,21
AC015,DEL,305,11
AC016,DEL,262,18
AC017,SIN,193,15
AC018,DXB,285,23
AC019,NRT,267,10
AC020,DEL,301,12
AC021,SIN,238,14
AC022,DEL,222,19
AC023,FRA,247,4
AC024,LHR,249,25
AC025,FRA,245,13
AC026,FRA,186,14
AC027,FRA,242,17
AC028,FRA,126,19
AC029,DXB,316,5
AC030,DEL,300,17
AC031,NRT,146,23
AC032,FRA,229,16
AC033,DXB,243,8
AC034,DEL,280,23
AC035,LHR,292,16
AC036,NRT,259,9
AC037,FRA,222,22
AC038,SIN,260,21
AC039,FRA,298,16
AC040,LHR,230,7
