session_id,user_id,session_ts,revenue
s1,u1,2024-01-01T10:00:00Z,10
s2,u2,2024-01-01T11:00:00Z,20
s3,u3,2024-01-02T12:00:00Z,10
s4,u4,2024-01-03T09:00:00Z,30
s5,u5,2024-01-03T10:00:00Z,35
s6,u6,2024-01-04T10:00:00Z,20
s7,u7,2024-01-04T11:00:00Z,40
s8,u8,2024-01-05T12:00:00Z,22
s9,u2,2024-01-01T10:30:00Z,20
s10,u5,2024-01-03T09:30:00Z,30
s11,u9,2024-01-03T13:00:00Z,50
s12,u10,2024-01-04T08:00:00Z,10
s13,u1,2024-01-01T10:05:00Z,10
s2,u2,2024-01-01T11:30:00Z,20
s14,u3,2024-01-01T23:30:00-01:00,15
s15,u7,2024-01-04T23:30:00-05:00,15
