flight_id,aircraft_id,departure,arrival,delay_minutes,fuel_used,status
FL0001,AC001,CCU,HYD,1,3682,COMPLETED
FL0002,AC001,BOM,CCU,26,4221,COMPLETED
FL0003,AC001,DEL,BOM,22,4987,COMPLETED
FL0004,AC001,DEL,HYD,24,3763,COMPLETED
FL0005,AC001,BLR,CCU,17,6060,COMPLETED
FL0006,AC001,CCU,DEL,35,4992,DELAYED
FL0007,AC001,MAA,BLR,29,4058,COMPLETED
FL0008,AC001,CCU,MAA,27,6180,COMPLETED
FL0009,AC001,BOM,CCU,42,3422,DELAYED
FL0010,AC001,HYD,CCU,3,3014,COMPLETED
FL0011,AC001,BOM,CCU,48,5962,COMPLETED
FL0012,AC001,MAA,HYD,8,2279,COMPLETED
FL0013,AC002,MAA,BOM,44,6078,COMPLETED
FL0014,AC002,CCU,BLR,28,5542,COMPLETED
FL0015,AC002,HYD,BOM,29,4451,COMPLETED
FL0016,AC002,HYD,CCU,29,3933,CANCELLED
FL0017,AC002,HYD,BOM,14,4951,COMPLETED
FL0018,AC002,BLR,CCU,4,4049,COMPLETED
FL0019,AC002,BOM,DEL,8,3142,COMPLETED
FL0020,AC002,DEL,BOM,33,5099,COMPLETED
FL0021,AC002,BOM,DEL,40,2490,COMPLETED
FL0022,AC002,MAA,HYD,2,3077,COMPLETED
FL0023,AC002,CCU,HYD,8,4137,DELAYED
FL0024,AC002,BOM,DEL,13,2597,COMPLETED
FL0025,AC002,MAA,HYD,0,2421,COMPLETED
FL0026,AC003,DEL,HYD,32,5182,COMPLETED
FL0027,AC003,DEL,MAA,24,2774,COMPLETED
FL0028,AC003,MAA,HYD,34,3223,DELAYED
FL0029,AC003,DEL,HYD,27,2601,COMPLETED
FL0030,AC003,HYD,DEL,0,6169,COMPLETED
FL0031,AC003,BOM,MAA,4,5741,COMPLETED
FL0032,AC003,DEL,MAA,26,3752,COMPLETED
FL0033,AC003,BLR,MAA,39,3368,COMPLETED
FL0034,AC003,CCU,HYD,7,4911,COMPLETED
FL0035,AC004,BOM,BLR,18,5213,COMPLETED
FL0036,AC004,CCU,MAA,22,2434,COMPLETED
FL0037,AC004,BLR,CCU,33,2432,CANCELLED
FL0038,AC004,DEL,MAA,9,2480,COMPLETED
FL0039,AC004,CCU,BOM,0,4533,COMPLETED
FL0040,AC004,HYD,DEL,36,4736,COMPLETED
FL0041,AC004,CCU,HYD,6,3268,COMPLETED
FL0042,AC004,CCU,MAA,13,3177,COMPLETED
FL0043,AC004,BOM,BLR,0,6032,COMPLETED
FL0044,AC004,BLR,CCU,26,4506,CANCELLED
FL0045,AC005,HYD,BOM,10,3629,DELAYED
FL0046,AC005,BOM,BLR,17,3367,COMPLETED
FL0047,AC005,HYD,MAA,0,4878,COMPLETED
FL0048,AC005,CCU,HYD,0,3426,DELAYED
FL0049,AC005,DEL,MAA,15,5240,COMPLETED
FL0050,AC005,MAA,BLR,47,4677,COMPLETED
FL0051,AC005,MAA,BOM,7,4270,COMPLETED
FL0052,AC005,DEL,BOM,0,4798,COMPLETED
FL0053,AC005,MAA,DEL,42,4809,CANCELLED
FL0054,AC006,CCU,BLR,18,4459,COMPLETED
FL0055,AC006,HYD,DEL,43,5030,DELAYED
FL0056,AC006,HYD,DEL,39,5618,COMPLETED
FL0057,AC006,HYD,BOM,14,3693,DELAYED
FL0058,AC006,DEL,BLR,19,3060,COMPLETED
