event_id,robot_id,event_type,distance_meters,battery_percent,timestamp
E001,RB001,MOVE,120,96,2025-06-01T08:00:00Z
E002,RB001,COMPLETE,0,94,2025-06-01T08:10:00Z
E003,RB001,MOVE,160,90,2025-06-01T09:00:00Z
E004,RB001,FAIL,0,87,2025-06-01T09:15:00Z

E005,RB002,MOVE,140,98,2025-06-01T08:00:00Z
E006,RB002,COMPLETE,0,96,2025-06-01T08:15:00Z
E007,RB002,MOVE,180,91,2025-06-01T09:00:00Z
E008,RB002,COMPLETE,0,89,2025-06-01T09:20:00Z

E009,RB003,MOVE,110,95,2025-06-01T08:00:00Z
E010,RB003,HARD_FAILURE,0,82,2025-06-01T08:20:00Z
E011,RB003,MOVE,200,78,2025-06-01T09:00:00Z

E012,RB004,MOVE,170,99,2025-06-01T08:00:00Z
E013,RB004,FAIL,0,93,2025-06-01T08:30:00Z
E014,RB004,COMPLETE,0,91,2025-06-01T08:45:00Z

E015,RB005,MOVE,150,97,2025-06-01T08:00:00Z
E016,RB005,COMPLETE,0,95,2025-06-01T08:20:00Z
E017,RB005,MOVE,210,88,2025-06-01T09:00:00Z
E018,RB005,COMPLETE,0,84,2025-06-01T09:30:00Z
