customer_id,month,login_days,features_used,support_tickets,payment_method
C001,2024-01,20,5,1,card
C001,2024-02,18,4,0,card
C002,2024-01,25,12,2,ach
C002,2024-02,26,14,1,ach
C003,2024-01,22,18,0,paypal
C003,2024-02,24,20,1,paypal
C004,2024-01,15,3,3,card
C004,2024-02,12,2,4,card
C005,2024-01,28,15,1,ach
C005,2024-02,27,16,0,ach
C006,2024-01,5,1,5,card
C006,2024-02,3,0,6,card
C007,2024-01,30,22,1,paypal
C007,2024-02,29,21,0,paypal
C008,2024-01,20,8,2,card
C008,2024-02,19,7,2,card
C009,2024-01,24,11,1,ach
C009,2024-02,25,13,1,ach
C010,2024-01,28,20,0,paypal
C010,2024-02,29,19,1,paypal
C011,2024-01,2,1,0,card
C011,2024-02,1,0,1,card
C012,2024-01,26,14,1,ach
C012,2024-02,25,13,2,ach
